task_name,compile_pass,stdout_stderr
102,True,
106,True,data/Hetrify/106/106_func_gen.c: In function ‘f’:\ndata/Hetrify/106/106_func_gen.c:27:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘int *’ makes integer from pointer without a cast [-Wint-conversion]\n   27 |     c->gp_regs[a1]=arg1;\n      |                   ^\n
107,True,
108,True,data/Hetrify/108/108_func_gen.c: In function ‘count_nums’:\ndata/Hetrify/108/108_func_gen.c:104:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘int *’ makes integer from pointer without a cast [-Wint-conversion]\n  104 |     c->gp_regs[a0]=arg0;\n      |                   ^\n
109,True,"data/Hetrify/109/109_func_gen.c: In function ‘move_one_ball’:\ndata/Hetrify/109/109_func_gen.c:25:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘void *’ makes integer from pointer without a cast [-Wint-conversion]\n   25 |     c->gp_regs[a0]=arg0;\n      |                   ^\nIn file included from data/Hetrify/109/109_test.c:2:\ndata/Hetrify/109/109_test.c: In function ‘main’:\ndata/Hetrify/109/109_test.c:21:12: warning: ‘move_one_ball’ accessing 4 bytes in a region of size 0 [-Wstringop-overflow=]\n   21 |     assert(move_one_ball(arr5, 0) == true);\n      |            ^~~~~~~~~~~~~~~~~~~~~~\ndata/Hetrify/109/109_test.c:21:12: note: referencing argument 1 of type ‘int *’\ndata/Hetrify/109/109_test.c:5:6: note: in a call to function ‘move_one_ball’\n    5 | bool move_one_ball(int arr[], int n);\n      |      ^~~~~~~~~~~~~\n"
110,True,data/Hetrify/110/110_func_gen.c: In function ‘exchange’:\ndata/Hetrify/110/110_func_gen.c:25:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘int *’ makes integer from pointer without a cast [-Wint-conversion]\n   25 |     c->gp_regs[a0]=arg0;\n      |                   ^\ndata/Hetrify/110/110_func_gen.c:27:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘int *’ makes integer from pointer without a cast [-Wint-conversion]\n   27 |     c->gp_regs[a2]=arg2;\n      |                   ^\n
114,True,data/Hetrify/114/114_func_gen.c: In function ‘minSubArraySum’:\ndata/Hetrify/114/114_func_gen.c:25:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘long long int *’ makes integer from pointer without a cast [-Wint-conversion]\n   25 |     c->gp_regs[a0]=arg0;\n      |                   ^\n
115,True,data/Hetrify/115/115_func_gen.c: In function ‘max_fill’:\ndata/Hetrify/115/115_func_gen.c:25:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘int **’ makes integer from pointer without a cast [-Wint-conversion]\n   25 |     c->gp_regs[a0]=arg0;\n      |                   ^\ndata/Hetrify/115/115_func_gen.c:27:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘int *’ makes integer from pointer without a cast [-Wint-conversion]\n   27 |     c->gp_regs[a2]=arg2;\n      |                   ^\n
121,True,data/Hetrify/121/121_func_gen.c: In function ‘solutions’:\ndata/Hetrify/121/121_func_gen.c:104:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘int *’ makes integer from pointer without a cast [-Wint-conversion]\n  104 |     c->gp_regs[a0]=arg0;\n      |                   ^\n
122,True,data/Hetrify/122/122_func_gen.c: In function ‘add_elements’:\ndata/Hetrify/122/122_func_gen.c:25:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘int *’ makes integer from pointer without a cast [-Wint-conversion]\n   25 |     c->gp_regs[a0]=arg0;\n      |                   ^\n
124,True,"data/Hetrify/124/124_func_gen.c: In function ‘string_length’:\ndata/Hetrify/124/124_func_gen.c:27:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘void *’ makes integer from pointer without a cast [-Wint-conversion]\n   27 |     c->gp_regs[a0]=arg0;\n      |                   ^\ndata/Hetrify/124/124_func_gen.c: In function ‘to_integer’:\ndata/Hetrify/124/124_func_gen.c:127:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘void *’ makes integer from pointer without a cast [-Wint-conversion]\n  127 |     c->gp_regs[a0]=arg0;\n      |                   ^\ndata/Hetrify/124/124_func_gen.c: In function ‘valid_date’:\ndata/Hetrify/124/124_func_gen.c:352:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘void *’ makes integer from pointer without a cast [-Wint-conversion]\n  352 |     c->gp_regs[a0]=arg0;\n      |                   ^\ndata/Hetrify/124/124_func_gen.c:383:56: warning: passing argument 1 of ‘string_length’ makes pointer from integer without a cast [-Wint-conversion]\n  383 |     c->gp_regs[a0] = (uint64_t)string_length(c->gp_regs[a0]);\n      |                                              ~~~~~~~~~~^~~~\n      |                                                        |\n      |                                                        uint64_t {aka long unsigned int}\ndata/Hetrify/124/124_func_gen.c:22:25: note: expected ‘void *’ but argument is of type ‘uint64_t’ {aka ‘long unsigned int’}\n   22 | int string_length(void* arg0){\n      |                   ~~~~~~^~~~\ndata/Hetrify/124/124_func_gen.c:627:53: warning: passing argument 1 of ‘to_integer’ makes pointer from integer without a cast [-Wint-conversion]\n  627 |     c->gp_regs[a0] = (uint64_t)to_integer(c->gp_regs[a0],c->gp_regs[a1],c->gp_regs[a2]);\n      |                                           ~~~~~~~~~~^~~~\n      |                                                     |\n      |                                                     uint64_t {aka long unsigned int}\ndata/Hetrify/124/124_func_gen.c:122:22: note: expected ‘void *’ but argument is of type ‘uint64_t’ {aka ‘long unsigned int’}\n  122 | int to_integer(void* arg0, int arg1, int arg2){\n      |                ~~~~~~^~~~\ndata/Hetrify/124/124_func_gen.c:653:53: warning: passing argument 1 of ‘to_integer’ makes pointer from integer without a cast [-Wint-conversion]\n  653 |     c->gp_regs[a0] = (uint64_t)to_integer(c->gp_regs[a0],c->gp_regs[a1],c->gp_regs[a2]);\n      |                                           ~~~~~~~~~~^~~~\n      |                                                     |\n      |                                                     uint64_t {aka long unsigned int}\ndata/Hetrify/124/124_func_gen.c:122:22: note: expected ‘void *’ but argument is of type ‘uint64_t’ {aka ‘long unsigned int’}\n  122 | int to_integer(void* arg0, int arg1, int arg2){\n      |                ~~~~~~^~~~\ndata/Hetrify/124/124_func_gen.c:679:53: warning: passing argument 1 of ‘to_integer’ makes pointer from integer without a cast [-Wint-conversion]\n  679 |     c->gp_regs[a0] = (uint64_t)to_integer(c->gp_regs[a0],c->gp_regs[a1],c->gp_regs[a2]);\n      |                                           ~~~~~~~~~~^~~~\n      |                                                     |\n      |                                                     uint64_t {aka long unsigned int}\ndata/Hetrify/124/124_func_gen.c:122:22: note: expected ‘void *’ but argument is of type ‘uint64_t’ {aka ‘long unsigned int’}\n  122 | int to_integer(void* arg0, int arg1, int arg2){\n      |                ~~~~~~^~~~\n"
126,True,data/Hetrify/126/126_func_gen.c: In function ‘is_sorted’:\ndata/Hetrify/126/126_func_gen.c:25:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘int *’ makes integer from pointer without a cast [-Wint-conversion]\n   25 |     c->gp_regs[a0]=arg0;\n      |                   ^\n
127,True,data/Hetrify/127/127_func_gen.c: In function ‘intersection’:\ndata/Hetrify/127/127_func_gen.c:237:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘void *’ makes integer from pointer without a cast [-Wint-conversion]\n  237 |     c->gp_regs[a0]=arg0;\n      |                   ^\ndata/Hetrify/127/127_func_gen.c:239:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘void *’ makes integer from pointer without a cast [-Wint-conversion]\n  239 |     c->gp_regs[a2]=arg2;\n      |                   ^\n
128,True,data/Hetrify/128/128_func_gen.c: In function ‘prod_signs’:\ndata/Hetrify/128/128_func_gen.c:25:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘int *’ makes integer from pointer without a cast [-Wint-conversion]\n   25 |     c->gp_regs[a0]=arg0;\n      |                   ^\n
13,True,
131,True,
132,True,data/Hetrify/132/132_func_gen.c: In function ‘is_nested’:\ndata/Hetrify/132/132_func_gen.c:25:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘void *’ makes integer from pointer without a cast [-Wint-conversion]\n   25 |     c->gp_regs[a0]=arg0;\n      |                   ^\n
134,True,data/Hetrify/134/134_func_gen.c: In function ‘str_length’:\ndata/Hetrify/134/134_func_gen.c:27:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘void *’ makes integer from pointer without a cast [-Wint-conversion]\n   27 |     c->gp_regs[a0]=arg0;\n      |                   ^\ndata/Hetrify/134/134_func_gen.c: In function ‘check_if_last_char_is_a_letter’:\ndata/Hetrify/134/134_func_gen.c:268:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘void *’ makes integer from pointer without a cast [-Wint-conversion]\n  268 |     c->gp_regs[a0]=arg0;\n      |                   ^\ndata/Hetrify/134/134_func_gen.c:299:53: warning: passing argument 1 of ‘str_length’ makes pointer from integer without a cast [-Wint-conversion]\n  299 |     c->gp_regs[a0] = (uint64_t)str_length(c->gp_regs[a0]);\n      |                                           ~~~~~~~~~~^~~~\n      |                                                     |\n      |                                                     uint64_t {aka long unsigned int}\ndata/Hetrify/134/134_func_gen.c:22:22: note: expected ‘void *’ but argument is of type ‘uint64_t’ {aka ‘long unsigned int’}\n   22 | int str_length(void* arg0){\n      |                ~~~~~~^~~~\n
135,True,"data/Hetrify/135/135_func_gen.c: In function ‘can_arrange’:\ndata/Hetrify/135/135_func_gen.c:25:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘int *’ makes integer from pointer without a cast [-Wint-conversion]\n   25 |     c->gp_regs[a0]=arg0;\n      |                   ^\nIn file included from data/Hetrify/135/135_test.c:2:\ndata/Hetrify/135/135_test.c: In function ‘main’:\ndata/Hetrify/135/135_test.c:20:12: warning: ‘can_arrange’ accessing 4 bytes in a region of size 0 [-Wstringop-overflow=]\n   20 |     assert(can_arrange(arr5, 0) == -1);\n      |            ^~~~~~~~~~~~~~~~~~~~\ndata/Hetrify/135/135_test.c:20:12: note: referencing argument 1 of type ‘int *’\ndata/Hetrify/135/135_test.c:4:5: note: in a call to function ‘can_arrange’\n    4 | int can_arrange(int arr[], int arr_size);\n      |     ^~~~~~~~~~~\n"
136,True,data/Hetrify/136/136_func_gen.c: In function ‘largest_smallest_integers’:\ndata/Hetrify/136/136_func_gen.c:25:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘void *’ makes integer from pointer without a cast [-Wint-conversion]\n   25 |     c->gp_regs[a0]=arg0;\n      |                   ^\ndata/Hetrify/136/136_func_gen.c:27:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘int *’ makes integer from pointer without a cast [-Wint-conversion]\n   27 |     c->gp_regs[a2]=arg2;\n      |                   ^\n
138,True,
139,True,
142,True,data/Hetrify/142/142_func_gen.c: In function ‘sum_squares’:\ndata/Hetrify/142/142_func_gen.c:25:19: warning: assignment to ‘uint64_t’ {aka ‘long unsigned int’} from ‘int *’ makes integer from pointer without a cast [-Wint-conversion]\n   25 |     c->gp_regs[a0]=arg0;\n      |                   ^\n
